date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,SubmitStory_http_out_rs,StoreStory_http_out_rs,ViewComment_http_out_rs,PostComment_http_out_rs,StoreComment_http_out_rs,ModerateComment_http_out_rs,StoreModeratorLog_http_out_rs,ReviewStories_http_out_rs,AcceptStory_http_out_rs,RejectStory_http_out_rs,Search_http_out_rs,RegisterUser_http_out_rs,Author_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523213947.800000,0.049413,0.010385,0.010000,0.012000,0.012500,0.028818,0.007000,0.000000,0.027250,0.001000,1.037000,0.000000,0.000000,0.009000,0.000000,0.000000,0.013600,0.527000,0.000000,0.000000,0.000000,0.018880,0.009400,0.015667,0.019000,0.016333,0.028700,0.010333,0.000000,0.033375,0.001000,0.000000,0.000000,0.000000,0.009000,0.000000,0.000000,0.017000,0.000000,0.000000,0.000000,0.000000
1523213947.850000,0.039000,0.005000,0.005500,0.004000,0.003000,0.010375,0.010000,0.000000,0.012750,0.000000,0.000000,0.000000,0.000000,0.003000,0.850000,0.000000,0.004000,0.000000,0.000000,0.000000,0.000000,0.171792,0.009455,0.008000,0.004000,0.003000,0.033438,0.008000,0.450000,0.022000,0.000000,2.051500,0.000000,0.000000,0.003000,1.054000,0.000000,0.011333,0.464667,0.000000,0.000000,0.000000
1523213947.900000,0.138137,0.009667,0.013500,0.007500,0.004667,0.033667,0.000000,0.485000,0.018000,0.000667,1.798500,0.021000,0.000000,0.000000,0.000000,0.000000,0.038615,0.000000,0.005000,0.000000,0.000000,0.190974,0.004500,0.003500,0.005333,0.004667,0.015333,0.000000,0.435500,0.014000,0.000667,0.955000,0.000000,1.430000,0.000000,0.925000,0.000000,0.003857,0.429667,0.005000,0.000000,0.000000
1523213947.950000,0.083746,0.018846,0.019333,0.019000,0.028600,0.033250,0.008000,0.460000,0.050400,0.001400,0.937000,0.000000,0.483500,0.000000,0.000000,0.000000,0.030125,0.458000,0.000000,0.000000,0.000000,0.013135,0.010500,0.016000,0.007400,0.018000,0.022333,0.008000,0.000000,0.019400,0.001400,0.000000,0.021000,0.000000,0.000000,0.000000,0.000000,0.009111,0.000000,0.000000,0.000000,0.000000
1523213948.000000,0.090732,0.012923,0.005000,0.007000,0.025000,0.034167,0.000000,0.448000,0.037875,0.001600,1.194667,0.000000,0.000000,0.000000,0.000000,0.000000,0.010333,0.000000,0.000000,0.000000,0.000000,0.092018,0.013273,0.014750,0.010500,0.029200,0.030167,0.000000,0.493000,0.027600,0.001600,1.199333,0.000000,0.000000,0.000000,0.000000,0.000000,0.012857,0.000000,0.000000,0.000000,0.000000
1523213948.050000,0.044691,0.011316,0.008500,0.000000,0.009000,0.029353,0.005000,0.000000,0.064000,0.000500,1.015000,0.000000,0.000000,0.004000,0.000000,0.000000,0.014500,0.409000,0.000000,0.000000,0.000000,0.058667,0.016333,0.008500,0.077000,0.019000,0.035385,0.005000,0.000000,0.056900,0.000500,1.223000,0.000000,0.000000,0.004000,0.000000,0.000000,0.049900,0.504000,0.000000,0.000000,0.000000
1523213948.100000,0.094233,0.009000,0.000000,0.013000,0.027000,0.026462,0.005000,0.391000,0.032750,0.001400,0.894250,0.019000,0.000000,0.000000,0.861000,0.000000,0.008100,0.000000,0.000000,0.000000,0.000000,0.109583,0.008765,0.000000,0.006000,0.000000,0.036563,0.005000,0.000000,0.053000,0.001400,1.779333,0.000000,0.000000,0.000000,0.000000,0.000000,0.022333,0.000000,0.000000,0.000000,0.000000
1523213948.150000,0.081232,0.007833,0.000000,0.006000,0.006500,0.024273,0.005667,0.387250,0.019333,0.000667,1.037000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006375,0.397000,0.000000,0.000000,0.000000,0.149338,0.010733,0.000000,0.013000,0.016500,0.026667,0.005667,0.595000,0.035500,0.000667,1.272000,0.019000,0.000000,0.000000,1.085000,0.000000,0.008875,0.592500,0.000000,0.000000,0.000000
1523213948.200000,0.074031,0.003778,0.000000,0.009000,0.000000,0.017375,0.002000,0.390667,0.011250,0.001500,0.953000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,0.000000,0.166400,0.004700,0.000000,0.007500,0.008000,0.022750,0.002000,0.000000,0.012250,0.001500,1.873333,0.000000,0.000000,0.000000,0.000000,0.000000,0.007500,0.609000,0.000000,0.000000,0.000000
1523213948.250000,0.099579,0.008800,0.000000,0.000000,0.017000,0.029333,0.005000,0.393000,0.020500,0.000000,0.894000,0.000000,0.000000,0.009000,0.000000,0.000000,0.000500,0.383000,0.000000,0.000000,0.000000,0.665174,0.003000,0.000000,0.000000,0.000000,0.020200,0.005000,0.570667,0.022000,0.000000,1.616857,0.000000,1.064000,0.009000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.000000
1523213948.300000,0.073167,0.008714,0.004000,0.012000,0.011000,0.022778,0.004500,0.000000,0.024500,0.001833,0.998667,0.000000,0.000000,0.000000,0.006000,0.000000,0.004333,0.000000,0.002000,0.000000,0.000000,0.214264,0.008143,0.004000,0.008000,0.014000,0.024714,0.004500,0.000000,0.015333,0.001833,1.261714,0.000000,0.000000,0.000000,0.495500,0.000000,0.004333,0.548500,0.002000,0.000000,0.000000
1523213948.350000,0.057362,0.012143,0.000000,0.012667,0.000000,0.021500,0.006000,0.370500,0.028000,0.002500,0.935500,0.000000,0.000000,0.000000,0.002000,0.000000,0.007000,0.000000,0.000000,0.000000,0.000000,0.154500,0.011400,0.000000,0.013500,0.000000,0.017333,0.006000,0.483000,0.031000,0.002500,1.127857,0.000000,0.000000,0.000000,0.002000,0.000000,0.003375,0.000000,0.000000,0.000000,0.000000
1523213948.400000,0.050262,0.013929,0.011667,0.007200,0.006500,0.022385,0.010000,0.000000,0.029800,0.000750,0.918000,0.000000,0.000000,0.019000,0.000000,0.000000,0.008857,0.378000,0.000000,0.000000,0.000000,0.128000,0.010333,0.011500,0.007200,0.006500,0.022286,0.008000,0.477000,0.021667,0.000750,0.933500,0.000000,0.000000,0.000000,0.000000,0.000000,0.008125,0.458000,0.000000,0.000000,0.000000
1523213948.450000,0.053810,0.013563,0.000000,0.000000,0.016000,0.020350,0.004500,0.466000,0.037667,0.001000,1.329000,0.000000,0.000000,0.000000,0.000000,0.005000,0.005200,0.000000,0.000000,0.000000,0.000000,0.074672,0.012737,0.012000,0.000000,0.008667,0.019176,0.007667,0.419500,0.035000,0.001000,0.950000,0.000000,0.483500,0.019000,0.000000,0.005000,0.010429,0.409000,0.000000,0.000000,0.000000
1523213948.500000,0.050571,0.016933,0.017400,0.008000,0.019500,0.036682,0.000000,0.523333,0.027667,0.000333,0.000000,0.000000,0.000000,0.037000,0.000000,0.000000,0.006375,0.467000,0.000000,0.000000,0.000000,0.021510,0.014750,0.010500,0.008000,0.021667,0.022417,0.000000,0.371000,0.018750,0.000333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004286,0.000000,0.000000,0.000000,0.000000
