date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523214086.950000,152.359997,4.879987,1.820004,2.099995,0.000000,15.759995,1.940006,30.199997,4.700006,0.120001,62.680000,0.219998,5.000000,1.020004,3.000000,3.240002,2.579999,13.000000,0.100002,0.000000,0.000000,0.000000,152.359997
1523214087.000000,137.959995,2.240004,0.099998,0.380002,0.280004,6.960001,0.299997,31.200001,2.420002,0.440002,68.480000,0.000000,5.000000,0.079999,3.000000,3.459999,1.059990,12.559998,0.000000,0.000000,0.000000,0.220001,137.739994
1523214087.050000,135.560003,2.340008,0.139999,0.180001,0.420000,3.939995,0.120001,27.659996,1.500004,0.200000,75.579998,0.000000,5.000000,0.300000,3.000000,3.000000,0.579999,11.600002,0.000000,0.000000,0.000000,1.619999,133.940004
1523214087.100000,135.960044,3.400003,0.240002,1.220003,1.320004,5.040024,0.160007,23.200001,0.619999,0.400002,78.099998,0.000000,5.000000,0.099998,3.880001,3.000000,1.280002,9.000000,0.000000,0.000000,0.000000,2.220001,133.740043
1523214087.150000,143.659971,4.560014,0.000000,0.639997,1.080002,7.479982,0.419997,23.619995,1.060000,0.200000,81.759995,0.000000,5.000000,0.000000,4.000000,3.000000,2.259992,8.579998,0.000000,0.000000,0.000000,4.520000,139.139971
1523214087.200000,149.499984,5.980002,0.000000,0.660006,0.720003,8.859986,0.519999,22.360001,2.039993,0.120003,86.219994,0.000000,5.000000,0.080004,4.000000,3.000000,2.459996,7.140003,0.339994,0.000000,0.000000,5.320000,144.179984
1523214087.250000,144.100019,3.859994,0.380001,1.040009,0.820000,5.499990,1.280005,20.740009,2.260004,0.300006,88.039997,0.000000,5.000000,0.380001,3.180000,3.540001,1.799995,5.480003,0.500003,0.000000,0.000000,6.000000,138.100019
1523214087.300000,148.259968,4.419986,0.000000,0.440002,1.019997,9.139995,0.600003,23.899998,1.820001,0.059996,87.499996,0.139999,5.000000,0.599998,3.119999,4.000000,1.499998,5.000000,0.000000,0.000000,0.000000,6.240002,142.019966
1523214087.350000,159.979985,3.259991,0.319998,0.699998,0.919998,12.240000,0.879997,25.000000,3.240005,0.099998,92.800003,0.000000,4.919998,0.020000,4.340004,4.000000,1.959995,5.000000,0.280000,0.000000,0.000000,8.560001,151.419984
1523214087.400000,168.779995,3.520004,1.139999,1.760001,0.879997,10.659998,0.919998,23.820004,3.979997,0.339994,98.900005,0.000000,4.000000,0.820004,5.000000,3.520000,4.559993,4.540001,0.419998,0.000000,0.000000,9.000000,159.779995
1523214087.450000,153.440006,3.140002,0.320000,0.680002,0.699995,4.800006,0.620009,22.819996,0.640003,0.200000,102.619999,0.000000,4.000000,0.180001,5.000000,2.660000,1.479991,3.580002,0.000000,0.000000,0.000000,9.000000,144.440006
1523214087.500000,148.760002,2.420004,0.180001,0.699999,0.320000,4.199993,0.160004,21.940002,0.600000,0.000000,103.400002,0.000000,4.000000,0.000000,5.000000,2.320000,1.439996,2.080002,0.000000,0.000000,0.000000,9.099998,139.660004
1523214087.550000,159.219993,2.220007,0.219996,0.900006,0.180000,11.939980,0.320001,23.119999,3.320007,0.179996,102.080002,0.000000,4.660004,0.000000,5.000000,2.000000,0.839996,2.239998,0.000000,0.000000,0.000000,10.000000,149.219993
1523214087.600000,163.359992,4.239992,0.780004,0.739999,0.639997,7.120002,0.059996,26.080002,1.820000,0.100007,103.139999,0.000000,5.000000,0.000000,5.620003,2.000000,1.319991,4.700001,0.000000,0.000000,0.000000,10.000000,153.359992
