date_time,total_http_start,total_http_end,select_http_start,select_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,insert_http_start,insert_http_end,UPDATE_http_start,UPDATE_http_end,update_http_start,update_http_end,DELETE_http_start,DELETE_http_end,delete_http_start,delete_http_end,commit;_http_start,commit;_http_end,SHOW_http_start,SHOW_http_end,SET_http_start,SET_http_end,/bin_http_start,/bin_http_end,#_http_start,#_http_end
1523212655.950000,92,92,0,0,54,54,25,24,0,0,9,10,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.000000,82,81,0,0,47,46,23,23,0,0,10,10,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.050000,102,99,0,0,102,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.100000,89,90,0,0,89,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.150000,105,108,0,0,105,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.200000,106,92,0,0,106,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.250000,100,113,0,0,100,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.300000,106,108,0,0,106,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.350000,101,97,0,0,101,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.400000,103,105,0,0,103,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.450000,99,98,0,0,99,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.500000,91,90,0,0,91,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.550000,116,112,0,0,116,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.600000,82,66,0,0,82,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.650000,69,48,0,0,69,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.700000,71,52,0,0,71,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.750000,10,8,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.800000,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.850000,12,80,0,0,12,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.900000,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212656.950000,149,95,0,0,147,94,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.000000,109,136,0,0,107,134,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.050000,113,123,0,0,106,116,2,3,0,0,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.100000,84,91,0,0,79,86,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.150000,97,105,0,0,59,67,11,11,0,0,26,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.200000,95,92,0,0,61,58,27,26,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.250000,99,101,0,0,72,74,25,25,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.300000,121,110,0,0,110,99,10,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.350000,4,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.550000,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.600000,151,131,0,0,150,130,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.650000,120,93,0,0,118,91,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.700000,143,175,0,0,139,170,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.750000,21,3,0,0,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.800000,104,117,0,0,103,116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.850000,30,24,0,0,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.900000,39,53,0,0,38,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212657.950000,159,141,0,0,153,135,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.000000,126,129,0,0,125,128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.050000,117,132,0,0,115,130,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.100000,123,115,0,0,120,112,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.150000,113,119,0,0,110,116,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.200000,111,125,0,0,111,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.250000,105,101,0,0,105,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.300000,110,118,0,0,107,115,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.350000,86,91,0,0,84,89,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.400000,98,109,0,0,87,98,8,9,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.450000,105,96,0,0,92,83,12,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.500000,125,112,0,0,123,110,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.550000,123,114,0,0,121,112,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.600000,95,127,0,0,87,119,0,0,0,0,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.650000,94,94,0,0,81,81,4,4,0,0,7,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.700000,90,95,0,0,53,58,30,29,0,0,6,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.750000,99,99,0,0,54,53,30,31,0,0,12,12,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.800000,135,119,0,0,121,106,6,6,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.850000,133,122,0,0,132,121,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.900000,129,138,0,0,128,137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212658.950000,96,91,0,0,95,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.000000,100,117,0,0,94,111,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.050000,98,99,0,0,91,91,4,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.100000,105,108,0,0,89,92,14,14,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.150000,109,111,0,0,92,94,11,11,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.200000,113,110,0,0,99,96,4,4,0,0,7,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.250000,110,110,0,0,95,96,10,10,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.300000,115,114,0,0,99,98,11,10,0,0,2,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.350000,96,96,0,0,88,88,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
