date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,total_http_out_rs,SELECT_http_out_rs,INSERT_http_out_rs,UPDATE_http_out_rs,DELETE_http_out_rs
1523213224.500000,0.021758,0.021758,0.000000,0.000000,0.000000,0.051805,0.051805,0.000000,0.000000,0.000000
1523213224.550000,0.021176,0.021176,0.000000,0.000000,0.000000,0.052010,0.052010,0.000000,0.000000,0.000000
1523213224.600000,0.051505,0.051505,0.000000,0.000000,0.000000,0.013392,0.013392,0.000000,0.000000,0.000000
1523213224.650000,0.061983,0.061983,0.000000,0.000000,0.000000,0.034812,0.034812,0.000000,0.000000,0.000000
1523213224.700000,0.036081,0.036081,0.000000,0.000000,0.000000,0.036056,0.036056,0.000000,0.000000,0.000000
1523213224.750000,0.034966,0.034966,0.000000,0.000000,0.000000,0.041558,0.041558,0.000000,0.000000,0.000000
1523213224.800000,0.021750,0.021750,0.000000,0.000000,0.000000,0.065862,0.065862,0.000000,0.000000,0.000000
1523213224.850000,0.001000,0.001000,0.000000,0.000000,0.000000,0.068760,0.068760,0.000000,0.000000,0.000000
1523213224.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523213224.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523213225.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523213225.050000,0.040469,0.040469,0.000000,0.000000,0.000000,0.009700,0.009700,0.000000,0.000000,0.000000
1523213225.100000,0.040416,0.040416,0.000000,0.000000,0.000000,0.022508,0.022508,0.000000,0.000000,0.000000
1523213225.150000,0.037192,0.037192,0.000000,0.000000,0.000000,0.038917,0.038917,0.000000,0.000000,0.000000
1523213225.200000,0.044124,0.044124,0.000000,0.000000,0.000000,0.037330,0.037330,0.000000,0.000000,0.000000
1523213225.250000,0.042829,0.042829,0.000000,0.000000,0.000000,0.038575,0.038575,0.000000,0.000000,0.000000
1523213225.300000,0.023600,0.023600,0.000000,0.000000,0.000000,0.039152,0.039152,0.000000,0.000000,0.000000
1523213225.350000,0.019431,0.019431,0.000000,0.000000,0.000000,0.044532,0.044532,0.000000,0.000000,0.000000
1523213225.400000,0.068765,0.068765,0.000000,0.000000,0.000000,0.024408,0.024408,0.000000,0.000000,0.000000
1523213225.450000,0.053299,0.053299,0.000000,0.000000,0.000000,0.017241,0.017241,0.000000,0.000000,0.000000
1523213225.500000,0.035500,0.035500,0.000000,0.000000,0.000000,0.036892,0.036892,0.000000,0.000000,0.000000
1523213225.550000,0.044488,0.044488,0.000000,0.000000,0.000000,0.060780,0.060780,0.000000,0.000000,0.000000
1523213225.600000,0.056066,0.056066,0.000000,0.000000,0.000000,0.052146,0.052146,0.000000,0.000000,0.000000
1523213225.650000,0.038137,0.038137,0.000000,0.000000,0.000000,0.042770,0.042770,0.000000,0.000000,0.000000
1523213225.700000,0.028405,0.028405,0.000000,0.000000,0.000000,0.054484,0.054484,0.000000,0.000000,0.000000
1523213225.750000,0.022778,0.022778,0.000000,0.000000,0.000000,0.050115,0.050115,0.000000,0.000000,0.000000
1523213225.800000,0.037670,0.037670,0.000000,0.000000,0.000000,0.013583,0.013583,0.000000,0.000000,0.000000
1523213225.850000,0.024407,0.024407,0.000000,0.000000,0.000000,0.019878,0.019878,0.000000,0.000000,0.000000
1523213225.900000,0.005929,0.005929,0.000000,0.000000,0.000000,0.020435,0.020435,0.000000,0.000000,0.000000
1523213225.950000,0.033355,0.033355,0.000000,0.000000,0.000000,0.039855,0.039855,0.000000,0.000000,0.000000
1523213226.000000,0.040260,0.040260,0.000000,0.000000,0.000000,0.018903,0.018903,0.000000,0.000000,0.000000
1523213226.050000,0.042815,0.042815,0.000000,0.000000,0.000000,0.025380,0.025380,0.000000,0.000000,0.000000
1523213226.100000,0.030887,0.030887,0.000000,0.000000,0.000000,0.033143,0.033143,0.000000,0.000000,0.000000
1523213226.150000,0.038877,0.038877,0.000000,0.000000,0.000000,0.046464,0.046464,0.000000,0.000000,0.000000
1523213226.200000,0.014862,0.014862,0.000000,0.000000,0.000000,0.028174,0.028174,0.000000,0.000000,0.000000
1523213226.250000,0.036235,0.036235,0.000000,0.000000,0.000000,0.036683,0.036683,0.000000,0.000000,0.000000
1523213226.300000,0.049875,0.049875,0.000000,0.000000,0.000000,0.048158,0.048158,0.000000,0.000000,0.000000
1523213226.350000,0.012597,0.012597,0.000000,0.000000,0.000000,0.045530,0.045530,0.000000,0.000000,0.000000
1523213226.400000,0.024367,0.024367,0.000000,0.000000,0.000000,0.012382,0.012382,0.000000,0.000000,0.000000
1523213226.450000,0.047719,0.047719,0.000000,0.000000,0.000000,0.026951,0.026951,0.000000,0.000000,0.000000
1523213226.500000,0.055975,0.055975,0.000000,0.000000,0.000000,0.014500,0.014500,0.000000,0.000000,0.000000
1523213226.550000,0.035081,0.035081,0.000000,0.000000,0.000000,0.025792,0.025792,0.000000,0.000000,0.000000
