date_time,total_http_start,total_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,UPDATE_http_start,UPDATE_http_end,DELETE_http_start,DELETE_http_end
1523223499.600000,0,0,0,0,0,0,0,0,0,0
1523223499.650000,0,0,0,0,0,0,0,0,0,0
1523223499.700000,0,0,0,0,0,0,0,0,0,0
1523223499.750000,0,0,0,0,0,0,0,0,0,0
1523223499.800000,0,0,0,0,0,0,0,0,0,0
1523223499.850000,0,0,0,0,0,0,0,0,0,0
1523223499.900000,0,0,0,0,0,0,0,0,0,0
1523223499.950000,0,0,0,0,0,0,0,0,0,0
1523223500.000000,0,0,0,0,0,0,0,0,0,0
1523223500.050000,0,0,0,0,0,0,0,0,0,0
1523223500.100000,0,0,0,0,0,0,0,0,0,0
1523223500.150000,0,0,0,0,0,0,0,0,0,0
1523223500.200000,0,0,0,0,0,0,0,0,0,0
1523223500.250000,0,0,0,0,0,0,0,0,0,0
1523223500.300000,0,0,0,0,0,0,0,0,0,0
1523223500.350000,0,0,0,0,0,0,0,0,0,0
1523223500.400000,0,0,0,0,0,0,0,0,0,0
1523223500.450000,0,0,0,0,0,0,0,0,0,0
1523223500.500000,0,0,0,0,0,0,0,0,0,0
1523223500.550000,0,0,0,0,0,0,0,0,0,0
1523223500.600000,0,0,0,0,0,0,0,0,0,0
1523223500.650000,0,0,0,0,0,0,0,0,0,0
1523223500.700000,0,0,0,0,0,0,0,0,0,0
1523223500.750000,0,0,0,0,0,0,0,0,0,0
1523223500.800000,0,0,0,0,0,0,0,0,0,0
1523223500.850000,0,0,0,0,0,0,0,0,0,0
1523223500.900000,0,0,0,0,0,0,0,0,0,0
1523223500.950000,0,0,0,0,0,0,0,0,0,0
1523223501.000000,0,0,0,0,0,0,0,0,0,0
1523223501.050000,0,0,0,0,0,0,0,0,0,0
1523223501.100000,0,0,0,0,0,0,0,0,0,0
1523223501.150000,0,0,0,0,0,0,0,0,0,0
1523223501.200000,0,0,0,0,0,0,0,0,0,0
1523223501.250000,0,0,0,0,0,0,0,0,0,0
1523223501.300000,0,0,0,0,0,0,0,0,0,0
1523223501.350000,0,0,0,0,0,0,0,0,0,0
1523223501.400000,0,0,0,0,0,0,0,0,0,0
1523223501.450000,0,0,0,0,0,0,0,0,0,0
1523223501.500000,0,0,0,0,0,0,0,0,0,0
1523223501.550000,0,0,0,0,0,0,0,0,0,0
1523223501.600000,0,0,0,0,0,0,0,0,0,0
1523223501.650000,0,0,0,0,0,0,0,0,0,0
1523223501.700000,0,0,0,0,0,0,0,0,0,0
1523223501.750000,0,0,0,0,0,0,0,0,0,0
1523223501.800000,0,0,0,0,0,0,0,0,0,0
1523223501.850000,0,0,0,0,0,0,0,0,0,0
1523223501.900000,0,0,0,0,0,0,0,0,0,0
1523223501.950000,0,0,0,0,0,0,0,0,0,0
1523223502.000000,0,0,0,0,0,0,0,0,0,0
1523223502.050000,0,0,0,0,0,0,0,0,0,0
1523223502.100000,0,0,0,0,0,0,0,0,0,0
1523223502.150000,0,0,0,0,0,0,0,0,0,0
1523223502.200000,0,0,0,0,0,0,0,0,0,0
